Ano;Código da Área;Área de Avaliação;Código da IES;Nome da IES;Sigla da IES;Organização Acadêmica;Categoria Administrativa;Código do Curso;Modalidade de Ensino;Código do Município;Município do Curso;Sigla da UF;Nº de Concluintes Inscritos;Nº  de Concluintes Participantes;Nota Bruta - FG;Nota Padronizada - FG;Nota Bruta - CE;Nota Padronizada - CE;Conceito Enade (Contínuo);Conceito Enade (Faixa);Observação
2019;6208;ENGENHARIA DE PRODUÇÃO;1434;Centro Universitário de Itapira Uniesi;UNIESI;Centro Universitário;Privada com fins lucrativos;1182172;Educação Presencial;3522604;Itapira;SP;11;11;393.545;2.547;422.818;23.624;24.086;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1437;ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO;ESRC;Faculdade;Privada com fins lucrativos;107684;Educação Presencial;3543907;Rio Claro;SP;27;27;305.667;14.814;381.556;18.809;1.781;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1438;FACULDADE DE ADMINISTRAÇÃO DE EMPRESAS;FACAMP;Faculdade;Privada com fins lucrativos;96112;Educação Presencial;3509502;Campinas;SP;78;73;449.219;32.221;485.068;30.888;31.222;4;
2019;6208;ENGENHARIA DE PRODUÇÃO;1444;FACULDADES INTEGRADAS EINSTEIN DE LIMEIRA;FIEL;Faculdade;Privada sem fins lucrativos;110652;Educação Presencial;3526902;Limeira;SP;50;36;392.028;25.286;480.806;30.391;29.115;3;
2019;6208;ENGENHARIA DE PRODUÇÃO;1445;CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA;CEUN-IMT;Centro Universitário;Privada sem fins lucrativos;25390;Educação Presencial;3548807;São Caetano do Sul;SP;174;170;456.835;33.144;580.976;4.208;39.846;5;
2019;6208;ENGENHARIA DE PRODUÇÃO;1452;FACULDADE PITÁGORAS DO MARANHÃO;;Faculdade;Privada com fins lucrativos;1204431;Educação Presencial;2111300;São Luís;MA;81;72;335.917;18.482;293.792;0.8567;11.046;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1455;FACULDADE SANTÍSSIMO SACRAMENTO;FSSS;Faculdade;Privada sem fins lucrativos;107050;Educação Presencial;2900702;Alagoinhas;BA;73;52;394.635;25.602;356.423;15.876;18.308;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1457;Faculdade Estácio Euro- Panamericana de Humanidades e Tecnologias - Estácio EUROPAN;ESTÁCIO EUROPAN;Faculdade;Privada com fins lucrativos;1284253;Educação Presencial;3513009;Cotia;SP;1;1;;;;;;SC;
2019;6208;ENGENHARIA DE PRODUÇÃO;1461;CENTRO UNIVERSIÁRIO UNIFTC SALVADOR;;Centro Universitário;Privada com fins lucrativos;46264;Educação Presencial;2927408;Salvador;BA;7;7;378.857;23.689;306.429;10.042;13.454;2;
2019;6208;ENGENHARIA DE PRODUÇÃO;1465;FACULDADE DE RIBEIRÃO PRETO;AFARP;Faculdade;Privada com fins lucrativos;69057;Educação Presencial;3543402;Ribeirão Preto;SP;23;13;272.923;10.843;32.2;11.859;11.605;2;
